Depth,GR,RT,RHOB,NPHI,Facies
3288.0,47.13,0.3358,2.092,0.3081,SS
3288.5,34.9266,0.343,2.0954,0.3195,SS
3289.0,33.1717,0.324,2.0863,0.299,SS
3289.5,33.4286,0.325,2.1185,0.2773,SS
3290.0,33.5685,0.335,2.1317,0.2695,SS
3290.5,31.7425,0.291,2.1261,0.2843,SS
3291.0,30.0583,0.31,2.1217,0.274,SS
3291.5,29.5375,0.297,2.1283,0.2849,SS
3292.0,28.5325,0.294,2.1245,0.275,SS
3292.5,29.3954,0.308,2.1206,0.2904,SS
3293.0,30.8389,0.3061,2.1198,0.2633,SS
3293.5,29.1073,0.294,2.1173,0.2588,SS
3294.0,30.4716,0.336,2.1186,0.2734,SS
3294.5,31.7269,0.3041,2.1476,0.2555,SS
3295.0,30.3887,0.327,2.1438,0.2479,SS
3295.5,31.3698,0.302,2.1351,0.2457,SS
3296.0,30.5915,0.322,2.1267,0.2677,SS
3296.5,30.5464,0.32,2.1286,0.2483,SS
3297.0,31.7341,0.302,2.1284,0.2524,SS
3297.5,30.3532,0.298,2.1285,0.2772,SS
3298.0,31.6969,0.311,2.1241,0.256,SS
3298.5,31.8726,0.291,2.1266,0.2788,SS
3299.0,28.3957,0.331,2.1407,0.2576,SS
3299.5,31.0182,0.275,2.1505,0.2604,SS
3300.0,29.8538,0.266,2.1383,0.3123,SS
3300.5,31.2448,0.291,2.1228,0.2679,SS
3301.0,30.1604,0.29,2.1279,0.2677,SS
3301.5,33.7686,0.301,2.1411,0.2607,SS
3302.0,30.5824,0.293,2.1485,0.2518,SS
3302.5,32.4098,0.289,2.1451,0.2431,SS
3303.0,31.019,0.285,2.1406,0.2487,SS
3303.5,31.6501,0.295,2.1357,0.2654,SS
3304.0,32.0369,0.279,2.1339,0.2803,SS
3304.5,30.18,0.285,2.1403,0.2648,SS
3305.0,32.7672,0.285,2.1292,0.2499,SS
3305.5,33.0053,0.276,2.1396,0.2606,SS
3306.0,32.4776,0.306,2.1419,0.2526,SS
3306.5,30.8786,0.29,2.1457,0.258,SS
3307.0,33.0645,0.302,2.1495,0.2611,SS
3307.5,31.281,0.296,2.1546,0.2535,SS
3308.0,31.3719,0.295,2.154,0.2638,SS
3308.5,28.4212,0.296,2.1488,0.2773,SS
3309.0,31.073,0.31,2.1437,0.2676,SS
3309.5,31.3249,0.325,2.1475,0.2513,SS
3310.0,29.515,0.307,2.1535,0.2486,SS
3310.5,32.1847,0.284,2.1619,0.2436,SS
3311.0,30.721,0.324,2.1615,0.2587,SS
3311.5,29.7405,0.281,2.1637,0.2608,SS
3312.0,34.262,0.323,2.166,0.2764,SS
3312.5,35.3392,0.324,2.1633,0.258,SS
3313.0,33.4946,0.344,2.1479,0.2576,SS
3313.5,34.801,0.334,2.1572,0.243,SS
3314.0,37.4302,0.351,2.1523,0.2603,SS
3314.5,35.334,0.3579,2.1509,0.2454,SS
3315.0,34.2245,0.368,2.1621,0.2491,SS
3315.5,34.2054,0.346,2.1645,0.2456,SS
3316.0,32.6402,0.339,2.1583,0.2611,SS
3316.5,34.2808,0.344,2.1662,0.2636,SS
3317.0,34.5887,0.336,2.1642,0.2417,SS
3317.5,34.3994,0.341,2.1594,0.2479,SS
3318.0,34.8082,0.334,2.159,0.2491,SS
3318.5,32.3484,0.344,2.1599,0.2612,SS
3319.0,32.2034,0.336,2.1666,0.2374,SS
3319.5,33.0334,0.324,2.1622,0.2456,SS
3320.0,35.2752,0.322,2.1677,0.2451,SS
3320.5,32.23699999999999,0.318,2.155,0.2318,SS
3321.0,32.2982,0.3091,2.1598,0.2503,SS
3321.5,31.3228,0.299,2.16,0.2553,SS
3322.0,30.1225,0.29,2.1518,0.2591,SS
3322.5,29.7927,0.3,2.1493,0.255,SS
3323.0,30.0511,0.284,2.1521,0.2612,SS
3323.5,29.3268,0.3249,2.152,0.2505,SS
3324.0,30.86,0.327,2.1581,0.2644,SS
3324.5,32.2531,0.328,2.1559,0.2418,SS
3325.0,37.564,0.323,2.1662,0.2604,SS
3325.5,36.8364,0.331,2.1633,0.2531,SS
3326.0,35.0903,0.337,2.1759,0.2489,SS
3326.5,37.4518,0.3311,2.1791,0.2454,SS
3327.0,35.8417,0.2782,2.1797,0.2334,SS
3327.5,38.868,0.306,2.1776,0.2399,SS
3328.0,38.0992,0.303,2.1755,0.2481,SS
3328.5,36.5595,0.3841,2.1621,0.2344,SS
3329.0,36.8639,0.356,2.163,0.2326,SS
3329.5,36.1237,0.35,2.1745,0.2492,SS
3330.0,35.204,0.364,2.1591,0.2588,SS
3330.5,36.1911,0.324,2.1991,0.2331,SS
3331.0,36.4368,0.317,2.2273,0.2205,SS
3331.5,37.1482,0.33,2.2833,0.2395,SS
3332.0,32.3187,0.357,2.1925,0.2636,SS
3333.5,41.3727,0.392,2.2769,0.4738,SH
3334.0,51.9815,0.7601,2.2305,0.2462,SS
3334.5,34.5864,1.0566,2.2433,0.1177,SS
3335.0,44.6682,1.2697,2.3581,0.1258,CB
3335.5,47.6617,1.6186,2.425,0.2834,SH
3336.5,37.2215,4.9722,2.273,0.1966,SS
3337.0,39.8514,1.4257,2.2828,0.3126,SS
3338.0,40.1238,3.9252,2.3512,0.1276,CB
3338.5,44.8877,1.516,2.3349,0.2317,CB
3339.0,34.6681,1.1101,2.1835,0.256,SS
3339.5,30.5619,1.4083,2.2703,0.256,SS
3340.0,30.4699,0.6371,2.2331,0.2055,SS
3340.5,37.5883,1.8497,2.2524,0.2477,SS
3341.0,49.1329,0.4063,2.3783,0.2916,CB
3342.0,35.4588,0.3609,2.2119,0.2681,SS
3342.5,35.8836,0.534,2.2261,0.2402,SS
3343.0,35.1216,0.3581,2.2133,0.2388,SS
3343.5,36.0467,0.3411,2.1892,0.2657,SS
3344.0,33.4212,0.361,2.1366,0.2577,SS
3344.5,32.4443,0.383,2.1867,0.2367,SS
3345.0,30.9769,0.427,2.1965,0.2435,SS
3345.5,34.327,0.4081,2.1904,0.2545,SS
3346.0,30.7502,0.4188,2.152,0.2649,SS
3346.5,29.4794,0.2731,2.1457,0.2509,SS
3347.0,29.2165,0.303,2.1395,0.283,SS
3347.5,27.5292,0.3679,2.1517,0.2626,SS
3348.0,25.8519,0.329,2.1744,0.2515,SS
3348.5,27.2025,0.2831,2.1779,0.24,SS
3349.0,28.0391,0.297,2.1743,0.2402,SS
3349.5,30.5713,0.275,2.1762,0.2438,SS
3350.0,29.4533,0.3319,2.1855,0.2314,SS
3350.5,29.5058,0.303,2.1889,0.232,SS
3351.0,32.3492,0.3539,2.1991,0.2339,SS
3351.5,32.479,0.373,2.1955,0.2505,SS
3352.0,29.7384,0.3779999999999999,2.2033,0.2373,SS
